Code,Name,Year,Population
E09000001,City of London,1999,6581
E09000001,City of London,2000,7014
E09000001,City of London,2001,7359
E09000001,City of London,2002,7280
E09000001,City of London,2003,7115
E09000001,City of London,2004,7118
E09000001,City of London,2005,7131
E09000001,City of London,2006,7254
E09000001,City of London,2007,7607
E09000001,City of London,2008,7429
E09000001,City of London,2009,7472
E09000001,City of London,2010,7338
E09000001,City of London,2011,7412
E09000001,City of London,2012,7204
E09000001,City of London,2013,6848
E09000001,City of London,2014,6872
E09000001,City of London,2015,7160
E09000001,City of London,2016,7401
E09000001,City of London,2017,7405
E09000001,City of London,2018,7681
E09000001,City of London,2019,7953
E09000001,City of London,2020,8046
E09000001,City of London,2021,8164
E09000001,City of London,2022,8289
E09000001,City of London,2023,8408
E09000001,City of London,2024,8526
E09000001,City of London,2025,8661
E09000001,City of London,2026,8802
E09000001,City of London,2027,8940
E09000001,City of London,2028,9075
E09000001,City of London,2029,9211
E09000001,City of London,2030,9367
E09000001,City of London,2031,9508
E09000001,City of London,2032,9640
E09000001,City of London,2033,9767
E09000001,City of London,2034,9892
E09000001,City of London,2035,10001
E09000001,City of London,2036,10097
E09000001,City of London,2037,10188
E09000001,City of London,2038,10278
E09000001,City of London,2039,10366
E09000001,City of London,2040,10448
E09000001,City of London,2041,10531
E09000001,City of London,2042,10552
E09000001,City of London,2043,10561
E09000001,City of London,2044,10568
E09000001,City of London,2045,10575
E09000001,City of London,2046,10583
E09000001,City of London,2047,10587
E09000001,City of London,2048,10590
E09000001,City of London,2049,10596
E09000001,City of London,2050,10604
E09000002,Barking and Dagenham,1999,162444
E09000002,Barking and Dagenham,2000,163893
E09000002,Barking and Dagenham,2001,165654
E09000002,Barking and Dagenham,2002,166357
E09000002,Barking and Dagenham,2003,166210
E09000002,Barking and Dagenham,2004,165610
E09000002,Barking and Dagenham,2005,166275
E09000002,Barking and Dagenham,2006,167157
E09000002,Barking and Dagenham,2007,169031
E09000002,Barking and Dagenham,2008,172452
E09000002,Barking and Dagenham,2009,177580
E09000002,Barking and Dagenham,2010,182838
E09000002,Barking and Dagenham,2011,187418
E09000002,Barking and Dagenham,2012,190949
E09000002,Barking and Dagenham,2013,194741
E09000002,Barking and Dagenham,2014,198683
E09000002,Barking and Dagenham,2015,202368
E09000002,Barking and Dagenham,2016,206849
E09000002,Barking and Dagenham,2017,210513
E09000002,Barking and Dagenham,2018,212773
E09000002,Barking and Dagenham,2019,214858
E09000002,Barking and Dagenham,2020,218367
E09000002,Barking and Dagenham,2021,221495
E09000002,Barking and Dagenham,2022,224407
E09000002,Barking and Dagenham,2023,226988
E09000002,Barking and Dagenham,2024,229337
E09000002,Barking and Dagenham,2025,234317
E09000002,Barking and Dagenham,2026,239301
E09000002,Barking and Dagenham,2027,244088
E09000002,Barking and Dagenham,2028,248726
E09000002,Barking and Dagenham,2029,253501
E09000002,Barking and Dagenham,2030,260560
E09000002,Barking and Dagenham,2031,267130
E09000002,Barking and Dagenham,2032,273369
E09000002,Barking and Dagenham,2033,279501
E09000002,Barking and Dagenham,2034,285672
E09000002,Barking and Dagenham,2035,290428
E09000002,Barking and Dagenham,2036,294770
E09000002,Barking and Dagenham,2037,298772
E09000002,Barking and Dagenham,2038,302771
E09000002,Barking and Dagenham,2039,306813
E09000002,Barking and Dagenham,2040,311674
E09000002,Barking and Dagenham,2041,316582
E09000002,Barking and Dagenham,2042,317267
E09000002,Barking and Dagenham,2043,317574
E09000002,Barking and Dagenham,2044,317811
E09000002,Barking and Dagenham,2045,318243
E09000002,Barking and Dagenham,2046,318881
E09000002,Barking and Dagenham,2047,319622
E09000002,Barking and Dagenham,2048,320408
E09000002,Barking and Dagenham,2049,321349
E09000002,Barking and Dagenham,2050,322490
E09000003,Barnet,1999,313469
E09000003,Barnet,2000,315784
E09000003,Barnet,2001,319481
E09000003,Barnet,2002,320552
E09000003,Barnet,2003,321802
E09000003,Barnet,2004,323723
E09000003,Barnet,2005,327541
E09000003,Barnet,2006,330801
E09000003,Barnet,2007,334837
E09000003,Barnet,2008,339212
E09000003,Barnet,2009,345829
E09000003,Barnet,2010,351438
E09000003,Barnet,2011,357653
E09000003,Barnet,2012,364071
E09000003,Barnet,2013,369203
E09000003,Barnet,2014,375030
E09000003,Barnet,2015,379806
E09000003,Barnet,2016,386198
E09000003,Barnet,2017,391446
E09000003,Barnet,2018,397049
E09000003,Barnet,2019,402363
E09000003,Barnet,2020,407148
E09000003,Barnet,2021,411275
E09000003,Barnet,2022,415041
E09000003,Barnet,2023,418291
E09000003,Barnet,2024,420924
E09000003,Barnet,2025,422894
E09000003,Barnet,2026,424509
E09000003,Barnet,2027,426267
E09000003,Barnet,2028,431140
E09000003,Barnet,2029,436032
E09000003,Barnet,2030,438006
E09000003,Barnet,2031,439515
E09000003,Barnet,2032,441391
E09000003,Barnet,2033,443373
E09000003,Barnet,2034,445344
E09000003,Barnet,2035,448191
E09000003,Barnet,2036,451348
E09000003,Barnet,2037,454571
E09000003,Barnet,2038,457814
E09000003,Barnet,2039,461003
E09000003,Barnet,2040,463879
E09000003,Barnet,2041,466528
E09000003,Barnet,2042,469995
E09000003,Barnet,2043,473740
E09000003,Barnet,2044,477659
E09000003,Barnet,2045,481750
E09000003,Barnet,2046,486023
E09000003,Barnet,2047,490329
E09000003,Barnet,2048,494586
E09000003,Barnet,2049,498953
E09000003,Barnet,2050,503490
E09000004,Bexley,1999,217458
E09000004,Bexley,2000,218717
E09000004,Bexley,2001,218757
E09000004,Bexley,2002,219123
E09000004,Bexley,2003,220016
E09000004,Bexley,2004,220917
E09000004,Bexley,2005,222391
E09000004,Bexley,2006,223280
E09000004,Bexley,2007,224625
E09000004,Bexley,2008,226652
E09000004,Bexley,2009,228146
E09000004,Bexley,2010,230711
E09000004,Bexley,2011,233002
E09000004,Bexley,2012,234499
E09000004,Bexley,2013,236915
E09000004,Bexley,2014,240093
E09000004,Bexley,2015,242370
E09000004,Bexley,2016,244988
E09000004,Bexley,2017,247179
E09000004,Bexley,2018,249999
E09000004,Bexley,2019,252885
E09000004,Bexley,2020,254970
E09000004,Bexley,2021,256845
E09000004,Bexley,2022,258607
E09000004,Bexley,2023,260232
E09000004,Bexley,2024,262798
E09000004,Bexley,2025,265249
E09000004,Bexley,2026,267652
E09000004,Bexley,2027,270003
E09000004,Bexley,2028,272252
E09000004,Bexley,2029,274487
E09000004,Bexley,2030,276493
E09000004,Bexley,2031,278017
E09000004,Bexley,2032,279349
E09000004,Bexley,2033,280577
E09000004,Bexley,2034,281762
E09000004,Bexley,2035,283461
E09000004,Bexley,2036,285385
E09000004,Bexley,2037,287373
E09000004,Bexley,2038,289399
E09000004,Bexley,2039,291406
E09000004,Bexley,2040,293227
E09000004,Bexley,2041,294925
E09000004,Bexley,2042,297138
E09000004,Bexley,2043,299505
E09000004,Bexley,2044,301953
E09000004,Bexley,2045,303673
E09000004,Bexley,2046,303924
E09000004,Bexley,2047,304088
E09000004,Bexley,2048,304201
E09000004,Bexley,2049,304411
E09000004,Bexley,2050,304657
E09000005,Brent,1999,260317
E09000005,Brent,2000,264945
E09000005,Brent,2001,269620
E09000005,Brent,2002,269871
E09000005,Brent,2003,268323
E09000005,Brent,2004,268335
E09000005,Brent,2005,270939
E09000005,Brent,2006,276504
E09000005,Brent,2007,283273
E09000005,Brent,2008,290901
E09000005,Brent,2009,298118
E09000005,Brent,2010,304785
E09000005,Brent,2011,313084
E09000005,Brent,2012,315499
E09000005,Brent,2013,318103
E09000005,Brent,2014,321601
E09000005,Brent,2015,324851
E09000005,Brent,2016,329093
E09000005,Brent,2017,332750
E09000005,Brent,2018,336859
E09000005,Brent,2019,340710
E09000005,Brent,2020,343853
E09000005,Brent,2021,346437
E09000005,Brent,2022,348783
E09000005,Brent,2023,350714
E09000005,Brent,2024,353130
E09000005,Brent,2025,358170
E09000005,Brent,2026,363285
E09000005,Brent,2027,368396
E09000005,Brent,2028,373445
E09000005,Brent,2029,378557
E09000005,Brent,2030,382415
E09000005,Brent,2031,385760
E09000005,Brent,2032,388788
E09000005,Brent,2033,391791
E09000005,Brent,2034,394795
E09000005,Brent,2035,395877
E09000005,Brent,2036,396410
E09000005,Brent,2037,396914
E09000005,Brent,2038,397614
E09000005,Brent,2039,398411
E09000005,Brent,2040,399034
E09000005,Brent,2041,400066
E09000005,Brent,2042,401368
E09000005,Brent,2043,402989
E09000005,Brent,2044,404815
E09000005,Brent,2045,406836
E09000005,Brent,2046,409054
E09000005,Brent,2047,411338
E09000005,Brent,2048,413613
E09000005,Brent,2049,416017
E09000005,Brent,2050,418595
E09000006,Bromley,1999,294902
E09000006,Bromley,2000,295317
E09000006,Bromley,2001,296218
E09000006,Bromley,2002,296668
E09000006,Bromley,2003,297253
E09000006,Bromley,2004,297307
E09000006,Bromley,2005,299421
E09000006,Bromley,2006,300963
E09000006,Bromley,2007,302625
E09000006,Bromley,2008,304968
E09000006,Bromley,2009,306924
E09000006,Bromley,2010,308560
E09000006,Bromley,2011,311110
E09000006,Bromley,2012,314592
E09000006,Bromley,2013,318455
E09000006,Bromley,2014,321834
E09000006,Bromley,2015,325413
E09000006,Bromley,2016,327445
E09000006,Bromley,2017,330909
E09000006,Bromley,2018,332733
E09000006,Bromley,2019,334292
E09000006,Bromley,2020,336395
E09000006,Bromley,2021,339466
E09000006,Bromley,2022,342548
E09000006,Bromley,2023,345216
E09000006,Bromley,2024,347455
E09000006,Bromley,2025,349207
E09000006,Bromley,2026,350694
E09000006,Bromley,2027,351840
E09000006,Bromley,2028,353322
E09000006,Bromley,2029,355195
E09000006,Bromley,2030,356489
E09000006,Bromley,2031,358289
E09000006,Bromley,2032,360298
E09000006,Bromley,2033,362341
E09000006,Bromley,2034,364344
E09000006,Bromley,2035,366962
E09000006,Bromley,2036,369808
E09000006,Bromley,2037,372703
E09000006,Bromley,2038,374053
E09000006,Bromley,2039,374843
E09000006,Bromley,2040,375433
E09000006,Bromley,2041,376074
E09000006,Bromley,2042,376780
E09000006,Bromley,2043,377125
E09000006,Bromley,2044,377399
E09000006,Bromley,2045,377690
E09000006,Bromley,2046,377998
E09000006,Bromley,2047,378210
E09000006,Bromley,2048,378364
E09000006,Bromley,2049,378635
E09000006,Bromley,2050,378948
E09000007,Camden,1999,190003
E09000007,Camden,2000,196174
E09000007,Camden,2001,202567
E09000007,Camden,2002,203972
E09000007,Camden,2003,204254
E09000007,Camden,2004,207341
E09000007,Camden,2005,211088
E09000007,Camden,2006,211032
E09000007,Camden,2007,211520
E09000007,Camden,2008,210273
E09000007,Camden,2009,212924
E09000007,Camden,2010,214725
E09000007,Camden,2011,220087
E09000007,Camden,2012,224961
E09000007,Camden,2013,229718
E09000007,Camden,2014,234845
E09000007,Camden,2015,241058
E09000007,Camden,2016,246180
E09000007,Camden,2017,249556
E09000007,Camden,2018,252637
E09000007,Camden,2019,255526
E09000007,Camden,2020,257384
E09000007,Camden,2021,259344
E09000007,Camden,2022,261082
E09000007,Camden,2023,262494
E09000007,Camden,2024,263550
E09000007,Camden,2025,264300
E09000007,Camden,2026,264913
E09000007,Camden,2027,265335
E09000007,Camden,2028,265446
E09000007,Camden,2029,265349
E09000007,Camden,2030,266386
E09000007,Camden,2031,267884
E09000007,Camden,2032,269417
E09000007,Camden,2033,270854
E09000007,Camden,2034,272206
E09000007,Camden,2035,274188
E09000007,Camden,2036,276315
E09000007,Camden,2037,278397
E09000007,Camden,2038,280405
E09000007,Camden,2039,282304
E09000007,Camden,2040,283914
E09000007,Camden,2041,285322
E09000007,Camden,2042,287315
E09000007,Camden,2043,289439
E09000007,Camden,2044,291607
E09000007,Camden,2045,293811
E09000007,Camden,2046,296065
E09000007,Camden,2047,298274
E09000007,Camden,2048,300394
E09000007,Camden,2049,302554
E09000007,Camden,2050,304798
E09000008,Croydon,1999,332066
E09000008,Croydon,2000,334241
E09000008,Croydon,2001,335112
E09000008,Croydon,2002,335415
E09000008,Croydon,2003,335919
E09000008,Croydon,2004,337134
E09000008,Croydon,2005,339052
E09000008,Croydon,2006,340449
E09000008,Croydon,2007,344029
E09000008,Croydon,2008,349308
E09000008,Croydon,2009,352763
E09000008,Croydon,2010,357951
E09000008,Croydon,2011,364815
E09000008,Croydon,2012,368886
E09000008,Croydon,2013,372752
E09000008,Croydon,2014,376040
E09000008,Croydon,2015,379031
E09000008,Croydon,2016,382304
E09000008,Croydon,2017,386346
E09000008,Croydon,2018,391296
E09000008,Croydon,2019,396548
E09000008,Croydon,2020,400272
E09000008,Croydon,2021,403461
E09000008,Croydon,2022,406399
E09000008,Croydon,2023,411580
E09000008,Croydon,2024,416582
E09000008,Croydon,2025,421090
E09000008,Croydon,2026,425612
E09000008,Croydon,2027,430009
E09000008,Croydon,2028,434268
E09000008,Croydon,2029,438586
E09000008,Croydon,2030,441922
E09000008,Croydon,2031,444573
E09000008,Croydon,2032,446938
E09000008,Croydon,2033,449170
E09000008,Croydon,2034,451309
E09000008,Croydon,2035,452477
E09000008,Croydon,2036,454085
E09000008,Croydon,2037,455882
E09000008,Croydon,2038,457804
E09000008,Croydon,2039,459759
E09000008,Croydon,2040,461477
E09000008,Croydon,2041,463028
E09000008,Croydon,2042,465412
E09000008,Croydon,2043,468103
E09000008,Croydon,2044,470970
E09000008,Croydon,2045,474016
E09000008,Croydon,2046,477261
E09000008,Croydon,2047,480573
E09000008,Croydon,2048,483864
E09000008,Croydon,2049,487291
E09000008,Croydon,2050,490900
E09000009,Ealing,1999,302252
E09000009,Ealing,2000,304370
E09000009,Ealing,2001,307276
E09000009,Ealing,2002,309242
E09000009,Ealing,2003,308108
E09000009,Ealing,2004,310073
E09000009,Ealing,2005,312774
E09000009,Ealing,2006,315329
E09000009,Ealing,2007,318671
E09000009,Ealing,2008,324022
E09000009,Ealing,2009,329966
E09000009,Ealing,2010,334073
E09000009,Ealing,2011,339665
E09000009,Ealing,2012,341022
E09000009,Ealing,2013,342845
E09000009,Ealing,2014,342469
E09000009,Ealing,2015,343410
E09000009,Ealing,2016,343547
E09000009,Ealing,2017,347126
E09000009,Ealing,2018,350784
E09000009,Ealing,2019,354184
E09000009,Ealing,2020,361833
E09000009,Ealing,2021,369685
E09000009,Ealing,2022,377916
E09000009,Ealing,2023,385818
E09000009,Ealing,2024,393434
E09000009,Ealing,2025,397010
E09000009,Ealing,2026,400552
E09000009,Ealing,2027,404119
E09000009,Ealing,2028,407659
E09000009,Ealing,2029,411269
E09000009,Ealing,2030,413618
E09000009,Ealing,2031,415296
E09000009,Ealing,2032,416744
E09000009,Ealing,2033,418140
E09000009,Ealing,2034,419546
E09000009,Ealing,2035,420107
E09000009,Ealing,2036,420144
E09000009,Ealing,2037,420211
E09000009,Ealing,2038,420540
E09000009,Ealing,2039,421017
E09000009,Ealing,2040,421356
E09000009,Ealing,2041,421832
E09000009,Ealing,2042,422957
E09000009,Ealing,2043,424400
E09000009,Ealing,2044,426041
E09000009,Ealing,2045,427873
E09000009,Ealing,2046,429905
E09000009,Ealing,2047,432006
E09000009,Ealing,2048,434102
E09000009,Ealing,2049,436340
E09000009,Ealing,2050,438773
E09000010,Enfield,1999,272731
E09000010,Enfield,2000,275068
E09000010,Enfield,2001,277266
E09000010,Enfield,2002,280745
E09000010,Enfield,2003,281835
E09000010,Enfield,2004,282217
E09000010,Enfield,2005,284779
E09000010,Enfield,2006,287429
E09000010,Enfield,2007,291534
E09000010,Enfield,2008,297443
E09000010,Enfield,2009,301971
E09000010,Enfield,2010,307648
E09000010,Enfield,2011,314011
E09000010,Enfield,2012,317363
E09000010,Enfield,2013,320600
E09000010,Enfield,2014,324650
E09000010,Enfield,2015,328509
E09000010,Enfield,2016,331471
E09000010,Enfield,2017,335647
E09000010,Enfield,2018,337697
E09000010,Enfield,2019,339480
E09000010,Enfield,2020,342993
E09000010,Enfield,2021,346635
E09000010,Enfield,2022,349994
E09000010,Enfield,2023,352879
E09000010,Enfield,2024,355209
E09000010,Enfield,2025,356949
E09000010,Enfield,2026,358342
E09000010,Enfield,2027,359321
E09000010,Enfield,2028,359820
E09000010,Enfield,2029,359937
E09000010,Enfield,2030,361176
E09000010,Enfield,2031,362953
E09000010,Enfield,2032,364916
E09000010,Enfield,2033,366907
E09000010,Enfield,2034,368844
E09000010,Enfield,2035,371481
E09000010,Enfield,2036,374385
E09000010,Enfield,2037,377356
E09000010,Enfield,2038,380361
E09000010,Enfield,2039,383334
E09000010,Enfield,2040,386046
E09000010,Enfield,2041,388564
E09000010,Enfield,2042,391764
E09000010,Enfield,2043,395210
E09000010,Enfield,2044,398809
E09000010,Enfield,2045,401427
E09000010,Enfield,2046,401786
E09000010,Enfield,2047,402018
E09000010,Enfield,2048,402190
E09000010,Enfield,2049,402490
E09000010,Enfield,2050,402838
E09000011,Greenwich,1999,212168
E09000011,Greenwich,2000,214438
E09000011,Greenwich,2001,217460
E09000011,Greenwich,2002,221476
E09000011,Greenwich,2003,224303
E09000011,Greenwich,2004,227190
E09000011,Greenwich,2005,230494
E09000011,Greenwich,2006,233990
E09000011,Greenwich,2007,236535
E09000011,Greenwich,2008,239748
E09000011,Greenwich,2009,243672
E09000011,Greenwich,2010,249171
E09000011,Greenwich,2011,255483
E09000011,Greenwich,2012,260068
E09000011,Greenwich,2013,264008
E09000011,Greenwich,2014,268678
E09000011,Greenwich,2015,274803
E09000011,Greenwich,2016,279766
E09000011,Greenwich,2017,282774
E09000011,Greenwich,2018,286322
E09000011,Greenwich,2019,289650
E09000011,Greenwich,2020,292466
E09000011,Greenwich,2021,294837
E09000011,Greenwich,2022,297039
E09000011,Greenwich,2023,300514
E09000011,Greenwich,2024,306500
E09000011,Greenwich,2025,312027
E09000011,Greenwich,2026,317560
E09000011,Greenwich,2027,323061
E09000011,Greenwich,2028,328388
E09000011,Greenwich,2029,333795
E09000011,Greenwich,2030,339418
E09000011,Greenwich,2031,344437
E09000011,Greenwich,2032,349135
E09000011,Greenwich,2033,353695
E09000011,Greenwich,2034,358219
E09000011,Greenwich,2035,360886
E09000011,Greenwich,2036,363025
E09000011,Greenwich,2037,364972
E09000011,Greenwich,2038,366856
E09000011,Greenwich,2039,368760
E09000011,Greenwich,2040,371519
E09000011,Greenwich,2041,374341
E09000011,Greenwich,2042,375162
E09000011,Greenwich,2043,375549
E09000011,Greenwich,2044,375999
E09000011,Greenwich,2045,376759
E09000011,Greenwich,2046,377807
E09000011,Greenwich,2047,378995
E09000011,Greenwich,2048,380244
E09000011,Greenwich,2049,381675
E09000011,Greenwich,2050,383314
E09000012,Hackney,1999,199087
E09000012,Hackney,2000,203381
E09000012,Hackney,2001,207246
E09000012,Hackney,2002,210961
E09000012,Hackney,2003,212405
E09000012,Hackney,2004,213581
E09000012,Hackney,2005,216512
E09000012,Hackney,2006,220193
E09000012,Hackney,2007,224480
E09000012,Hackney,2008,231041
E09000012,Hackney,2009,236622
E09000012,Hackney,2010,241739
E09000012,Hackney,2011,247578
E09000012,Hackney,2012,252515
E09000012,Hackney,2013,257775
E09000012,Hackney,2014,263546
E09000012,Hackney,2015,269405
E09000012,Hackney,2016,273922
E09000012,Hackney,2017,277475
E09000012,Hackney,2018,281740
E09000012,Hackney,2019,286425
E09000012,Hackney,2020,289488
E09000012,Hackney,2021,292023
E09000012,Hackney,2022,294312
E09000012,Hackney,2023,296177
E09000012,Hackney,2024,297569
E09000012,Hackney,2025,298472
E09000012,Hackney,2026,299126
E09000012,Hackney,2027,299489
E09000012,Hackney,2028,299494
E09000012,Hackney,2029,299220
E09000012,Hackney,2030,300157
E09000012,Hackney,2031,301706
E09000012,Hackney,2032,303472
E09000012,Hackney,2033,305287
E09000012,Hackney,2034,307078
E09000012,Hackney,2035,309588
E09000012,Hackney,2036,312334
E09000012,Hackney,2037,315101
E09000012,Hackney,2038,317824
E09000012,Hackney,2039,320448
E09000012,Hackney,2040,322757
E09000012,Hackney,2041,324824
E09000012,Hackney,2042,327534
E09000012,Hackney,2043,330425
E09000012,Hackney,2044,333410
E09000012,Hackney,2045,336476
E09000012,Hackney,2046,339633
E09000012,Hackney,2047,342776
E09000012,Hackney,2048,345846
E09000012,Hackney,2049,348993
E09000012,Hackney,2050,351640
E09000013,Hammersmith and Fulham,1999,160634
E09000013,Hammersmith and Fulham,2000,164393
E09000013,Hammersmith and Fulham,2001,169374
E09000013,Hammersmith and Fulham,2002,171989
E09000013,Hammersmith and Fulham,2003,171510
E09000013,Hammersmith and Fulham,2004,172083
E09000013,Hammersmith and Fulham,2005,173292
E09000013,Hammersmith and Fulham,2006,174675
E09000013,Hammersmith and Fulham,2007,176472
E09000013,Hammersmith and Fulham,2008,177088
E09000013,Hammersmith and Fulham,2009,180116
E09000013,Hammersmith and Fulham,2010,180842
E09000013,Hammersmith and Fulham,2011,182790
E09000013,Hammersmith and Fulham,2012,180195
E09000013,Hammersmith and Fulham,2013,179030
E09000013,Hammersmith and Fulham,2014,178710
E09000013,Hammersmith and Fulham,2015,179754
E09000013,Hammersmith and Fulham,2016,179998
E09000013,Hammersmith and Fulham,2017,181889
E09000013,Hammersmith and Fulham,2018,184050
E09000013,Hammersmith and Fulham,2019,186075
E09000013,Hammersmith and Fulham,2020,190721
E09000013,Hammersmith and Fulham,2021,195981
E09000013,Hammersmith and Fulham,2022,201406
E09000013,Hammersmith and Fulham,2023,206689
E09000013,Hammersmith and Fulham,2024,211895
E09000013,Hammersmith and Fulham,2025,215227
